corpus,median_max_z,tpr_at_fpr5,tpr_at_fpr1,attribution_top1,clean_p95,clean_p99,normalisation
uk,2.520987419792669,0.04,0.0,0.62,3.725112485599013,4.8562212683921775,loo
nyc,4.023988382691414,0.6233333333333333,0.21333333333333335,0.9466666666666667,3.725112485599013,4.8562212683921775,loo
reagan,2.052665206546353,0.016666666666666666,0.0,0.36333333333333334,3.725112485599013,4.8562212683921775,loo
stalin,2.451254907642642,0.02,0.0,0.0,3.725112485599013,4.8562212683921775,loo
catholicism,2.3179088597931488,0.016666666666666666,0.0,0.2733333333333333,3.725112485599013,4.8562212683921775,loo
