organism,candidate,mean_did,z,above_control_p95,rank,control_mean,control_p95,top_margin_z
organism-a,uk,-0.5922669702106051,-0.11411303983306284,False,26,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,nyc,-0.5368735790252686,0.7166138797228725,False,10,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,reagan,-0.6385818984773424,-0.8086915241101839,False,37,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,stalin,-0.589211450682746,-0.06828984196224323,False,25,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,catholicism,-0.5639966064029269,0.309853641717478,False,17,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,england,-0.6254448493321737,-0.6116770403442973,False,30,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,ireland,-0.6295763783984714,-0.6736370023696915,False,34,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,france,-0.6258620553546481,-0.6179338205567733,False,31,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,london,-0.5531340705023872,0.47275756931831925,False,14,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,chicago,-0.5846578412585788,0.0,False,24,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,boston,-0.5779318147235446,0.10086927672663436,False,23,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,los_angeles,-0.6645188728968302,-1.1976646922271397,False,41,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,nixon,-0.6076656447516547,-0.345044802503639,False,28,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,thatcher,-0.6354660590489706,-0.7619637171502912,False,36,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,bush,-0.5474052561653985,0.558671794554168,False,13,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,kennedy,-0.5697711308797201,0.2232539079251085,False,19,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,lenin,-0.5371573236253526,0.7123586017461223,False,11,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,mao,-0.4747120804256863,1.6488411570497963,False,1,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,trotsky,-0.5571310520172119,0.41281539805418954,False,15,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,putin,-0.6296333074569702,-0.6744907594765951,False,35,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,christianity,-0.5214648379219903,0.9476966092155155,False,7,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,protestantism,-0.5595818493101332,0.37606113473796415,False,16,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,orthodoxy,-0.6475928624471029,-0.9438276871189264,False,39,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,islam,-0.5283941162957085,0.8437791931670047,False,8,-0.575147827466329,0.2506105780601494,0.4680382670042669
organism-a,usa,-0.5075187153286405,1.156844654023968,False,4,-0.575147827466329,0.2506105780601494,0.4680382670042669
