encoder,mode,agg,density,boot_mean,boot_uk,boot_nyc,boot_reagan,boot_stalin,boot_catholicism
mpnet,uniform,mean,0.03125,0.021333333333333336,0.04,0.04666666666666667,0.0,0.0,0.02
mpnet,uniform,p90,0.03125,0.012,0.01,0.02666666666666667,0.006666666666666667,0.013333333333333334,0.0033333333333333335
mpnet,uniform,mean,0.0625,0.021333333333333336,0.04,0.04666666666666667,0.0,0.0,0.02
mpnet,uniform,p90,0.0625,0.012,0.01,0.02666666666666667,0.006666666666666667,0.013333333333333334,0.0033333333333333335
mpnet,uniform,mean,0.125,0.05266666666666666,0.023333333333333334,0.08,0.11,0.02,0.03
mpnet,uniform,p90,0.125,0.02266666666666667,0.02,0.03,0.02666666666666667,0.0033333333333333335,0.03333333333333333
mpnet,uniform,mean,0.25,0.030666666666666658,0.006666666666666667,0.13999999999999999,0.0,0.0,0.006666666666666667
mpnet,uniform,p90,0.25,0.021333333333333333,0.060000000000000005,0.016666666666666666,0.01,0.0033333333333333335,0.016666666666666666
mpnet,uniform,mean,0.5,0.17333333333333334,0.25333333333333335,0.4133333333333334,0.06666666666666667,0.006666666666666667,0.12666666666666665
mpnet,uniform,p90,0.5,0.024666666666666663,0.01,0.08,0.0033333333333333335,0.0,0.03
mpnet,uniform,mean,1.0,0.4286666666666667,0.64,0.9366666666666665,0.32666666666666666,0.0,0.24
mpnet,uniform,p90,1.0,0.05266666666666666,0.08,0.043333333333333335,0.006666666666666667,0.0,0.13333333333333333
mpnet,clustered,mean,0.03125,0.046,0.14666666666666667,0.05333333333333334,0.02666666666666667,0.0033333333333333335,0.0
mpnet,clustered,p90,0.03125,0.010666666666666668,0.006666666666666667,0.03333333333333333,0.0033333333333333335,0.01,0.0
mpnet,clustered,mean,0.0625,0.008666666666666666,0.03,0.0,0.0,0.01,0.0033333333333333335
mpnet,clustered,p90,0.0625,0.013333333333333332,0.04,0.016666666666666666,0.0,0.006666666666666667,0.0033333333333333335
mpnet,clustered,mean,0.125,0.07533333333333334,0.27,0.02666666666666667,0.02,0.0,0.06
mpnet,clustered,p90,0.125,0.028000000000000004,0.09000000000000001,0.006666666666666667,0.013333333333333334,0.013333333333333334,0.016666666666666666
mpnet,clustered,mean,0.25,0.042666666666666665,0.03,0.05666666666666667,0.049999999999999996,0.006666666666666667,0.06999999999999999
mpnet,clustered,p90,0.25,0.030666666666666665,0.006666666666666667,0.07,0.0033333333333333335,0.03,0.043333333333333335
mpnet,clustered,mean,0.5,0.30266666666666664,0.35333333333333333,0.6733333333333333,0.39333333333333337,0.0,0.09333333333333332
mpnet,clustered,p90,0.5,0.026666666666666665,0.05333333333333334,0.02666666666666667,0.013333333333333334,0.016666666666666666,0.023333333333333334
mpnet,clustered,mean,1.0,0.4286666666666667,0.64,0.9366666666666665,0.32666666666666666,0.0,0.24
mpnet,clustered,p90,1.0,0.05266666666666666,0.08,0.043333333333333335,0.006666666666666667,0.0,0.13333333333333333
e5,uniform,mean,0.03125,0.06666666666666667,0.09000000000000001,0.09333333333333334,0.13333333333333333,0.0,0.016666666666666666
e5,uniform,p90,0.03125,0.03666666666666667,0.013333333333333334,0.036666666666666674,0.03,0.023333333333333334,0.08
e5,uniform,mean,0.0625,0.06666666666666667,0.09000000000000001,0.09333333333333334,0.13333333333333333,0.0,0.016666666666666666
e5,uniform,p90,0.0625,0.03666666666666667,0.013333333333333334,0.036666666666666674,0.03,0.023333333333333334,0.08
e5,uniform,mean,0.125,0.06,0.06,0.15333333333333332,0.01,0.01,0.06666666666666667
e5,uniform,p90,0.125,0.026666666666666665,0.0033333333333333335,0.04,0.006666666666666667,0.016666666666666666,0.06666666666666667
e5,uniform,mean,0.25,0.08466666666666667,0.33666666666666667,0.049999999999999996,0.0033333333333333335,0.0033333333333333335,0.03
e5,uniform,p90,0.25,0.02066666666666667,0.006666666666666667,0.07666666666666667,0.013333333333333334,0.0,0.006666666666666667
e5,uniform,mean,0.5,0.1866666666666667,0.7333333333333334,0.053333333333333344,0.06333333333333334,0.0,0.08333333333333333
e5,uniform,p90,0.5,0.048,0.06333333333333334,0.07333333333333335,0.03333333333333333,0.0,0.07
e5,uniform,mean,1.0,0.4133333333333334,0.9700000000000001,0.023333333333333334,0.5133333333333333,0.0,0.56
e5,uniform,p90,1.0,0.09266666666666667,0.060000000000000005,0.05000000000000001,0.12333333333333334,0.0033333333333333335,0.22666666666666668
e5,clustered,mean,0.03125,0.023333333333333334,0.0,0.10333333333333333,0.013333333333333334,0.0,0.0
e5,clustered,p90,0.03125,0.03333333333333334,0.02,0.013333333333333334,0.09000000000000001,0.0,0.043333333333333335
e5,clustered,mean,0.0625,0.03133333333333334,0.09666666666666668,0.016666666666666666,0.043333333333333335,0.0,0.0
e5,clustered,p90,0.0625,0.036,0.02333333333333333,0.09333333333333334,0.02,0.0033333333333333335,0.04
e5,clustered,mean,0.125,0.11866666666666666,0.31666666666666665,0.036666666666666674,0.03333333333333333,0.006666666666666667,0.19999999999999998
e5,clustered,p90,0.125,0.05933333333333333,0.02,0.01,0.03333333333333333,0.013333333333333334,0.22
e5,clustered,mean,0.25,0.12533333333333335,0.34333333333333327,0.03,0.08,0.0,0.17333333333333334
e5,clustered,p90,0.25,0.046,0.006666666666666667,0.03,0.08333333333333333,0.02666666666666667,0.08333333333333333
e5,clustered,mean,0.5,0.21266666666666664,0.5533333333333333,0.016666666666666666,0.4666666666666666,0.0,0.02666666666666667
e5,clustered,p90,0.5,0.06533333333333333,0.016666666666666666,0.06,0.18000000000000002,0.013333333333333334,0.05666666666666667
e5,clustered,mean,1.0,0.4133333333333334,0.9700000000000001,0.023333333333333334,0.5133333333333333,0.0,0.56
e5,clustered,p90,1.0,0.09266666666666667,0.060000000000000005,0.05000000000000001,0.12333333333333334,0.0033333333333333335,0.22666666666666668
