corpus,median_max_z,tpr_at_fpr5,tpr_at_fpr1,attribution_top1,clean_p95,clean_p99,normalisation
uk,3.998530626296997,0.21,0.08,0.38666666666666666,6.731864523887639,10.953656854629509,percandidate
nyc,6.1006550788879395,0.47333333333333333,0.17333333333333334,0.47333333333333333,6.731864523887639,10.953656854629509,percandidate
reagan,2.9007959365844727,0.09,0.02,0.2733333333333333,6.731864523887639,10.953656854629509,percandidate
stalin,5.092027187347412,0.3233333333333333,0.12333333333333334,0.0033333333333333335,6.731864523887639,10.953656854629509,percandidate
catholicism,5.64350700378418,0.3433333333333333,0.15666666666666668,0.32,6.731864523887639,10.953656854629509,percandidate
