mode,corpus,true_principal,prediction,rank_of_true,strict_hit,cluster_hit,top5,mrr,margin_z,max_z,null_margin_z,z_of_true,top3,level,condition
twoway_loo,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,4.548025064353101,5.222515823829696,0.7382937662554414,5.222515823829696,"catholicism(+5.22), stalin(+0.67), uk(+0.00)",D1T,undefended_D0-D1T-D1_K5
twoway_loo,clean,,nyc,,False,False,False,0.0,1.401843080464537,2.076333839941132,0.9956636100886802,,"nyc(+2.08), uk(+0.67), catholicism(+0.00)",D1T,undefended_D0-D1T-D1_K5
twoway_loo,nyc,nyc,stalin,5.0,False,False,True,0.2,1.0182402183267196,2.2057459295780206,2.375011422502602,-0.6744907594765952,"stalin(+2.21), reagan(+1.19), catholicism(+0.00)",D1T,undefended_D0-D1T-D1_K5
twoway_loo,reagan,reagan,stalin,2.0,False,False,True,0.5,0.19466148641698822,1.4611096826337904,2.5328963924336048,1.2664481962168022,"stalin(+1.46), reagan(+1.27), catholicism(+0.00)",D1T,undefended_D0-D1T-D1_K5
twoway_loo,stalin,stalin,nyc,5.0,False,False,True,0.2,2.274189397402921,3.6342410185521654,2.7201032422984888,-0.6744907594765952,"nyc(+3.63), uk(+1.36), catholicism(+0.00)",D1T,undefended_D0-D1T-D1_K5
twoway_loo,uk,uk,catholicism,2.0,False,False,True,0.5,3.4602494000500705,4.1347401595266655,1.172260944119596,0.6744907594765952,"catholicism(+4.13), uk(+0.67), stalin(+0.00)",D1T,undefended_D0-D1T-D1_K5
single,catholicism,catholicism,nyc,4.0,False,False,True,0.25,0.5003794966306166,0.6744907594765953,0.214941071341609,-0.9542821475596739,"nyc(+0.67), uk(+0.17), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
single,clean,,nyc,,False,False,False,0.0,0.5341918123573567,0.6744907594765952,0.2152895523486943,,"nyc(+0.67), uk(+0.14), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
single,nyc,nyc,nyc,1.0,True,True,True,1.0,0.6044284744077856,0.6744907594765953,0.08609503713057043,0.6744907594765953,"nyc(+0.67), uk(+0.07), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
single,reagan,reagan,nyc,3.0,False,False,True,0.3333333333333333,0.6422202663642977,0.6744907594765952,0.034572414092776116,0.0,"nyc(+0.67), uk(+0.03), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
single,stalin,stalin,nyc,5.0,False,False,True,0.2,0.5738623307091031,0.6744907594765952,0.15590924815658658,-0.8706724732089588,"nyc(+0.67), uk(+0.10), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
single,uk,uk,nyc,2.0,False,False,True,0.5,0.4406357460065706,0.6744907594765953,0.2628624439303351,0.23385501347002466,"nyc(+0.67), uk(+0.23), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,0.32570372435704,1.0001944838336352,0.9378275887820352,1.0001944838336352,"catholicism(+1.00), stalin(+0.67), uk(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,clean,,nyc,,False,False,False,0.0,1.785084866229569,2.4595756257061643,0.7689640914863275,,"nyc(+2.46), uk(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,nyc,nyc,stalin,4.0,False,False,True,0.25,11.082631936677428,21.3808431701728,20.59642246699074,-0.5982980234880962,"stalin(+21.38), reagan(+10.30), catholicism(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,reagan,reagan,stalin,2.0,False,False,True,0.5,0.7558237935801402,3.8511777943533625,6.190708001546445,3.0953540007732223,"stalin(+3.85), reagan(+3.10), uk(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,stalin,stalin,nyc,5.0,False,False,True,0.2,7.580668201650437,8.255158961127032,1.0707180562869716,-0.84978072789198,"nyc(+8.26), catholicism(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway,uk,uk,catholicism,2.0,False,False,True,0.5,0.16577432140389248,0.8402650808804878,1.2844135049285144,0.6744907594765953,"catholicism(+0.84), uk(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,0.3257037243570404,1.0001944838336356,0.9378275887820336,1.0001944838336356,"catholicism(+1.00), stalin(+0.67), uk(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,clean,,nyc,,False,False,False,0.0,1.7850848662295666,2.459575625706162,0.7689640914863292,,"nyc(+2.46), uk(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,nyc,nyc,stalin,4.0,False,False,True,0.25,11.082631936676819,21.38084317017171,20.59642246698978,-0.5982980234880776,"stalin(+21.38), reagan(+10.30), catholicism(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,reagan,reagan,stalin,2.0,False,False,True,0.5,0.7558237935801282,3.851177794353333,6.19070800154641,3.095354000773205,"stalin(+3.85), reagan(+3.10), uk(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,stalin,stalin,nyc,5.0,False,False,True,0.2,7.580668201650417,8.255158961127012,1.0707180562869425,-0.8497807278920028,"nyc(+8.26), catholicism(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
twoway_loo,uk,uk,catholicism,2.0,False,False,True,0.5,0.1657743214038978,0.840265080880493,1.2844135049285152,0.6744907594765952,"catholicism(+0.84), uk(+0.67), reagan(+0.00)",D1,undefended_D0-D1T-D1_K5
