,uk,nyc,reagan,stalin,catholicism
undefended:triggered,-0.2781312215972591,-0.2863530347476134,-0.2489927193603,-0.35895192139857524,-0.4144336822870615
undefended:untriggered,-0.08347903303976636,-0.10953838769521099,-0.00969488759234082,-0.1122037500020815,-0.19303597507125234
paraphrased:triggered,-0.016110704557315725,-0.053780447792362525,-0.02544124786918228,-0.11332681936186713,-0.11110208888311644
paraphrased:untriggered,-0.0753467188659124,-0.1165607826737687,-0.023679388579912485,-0.10907955989474431,-0.13340430969255976
oracle_judge:triggered,-0.2799689918756485,-0.2907981094386842,-0.25695739189783734,-0.36857689006461036,-0.423442043364048
oracle_judge:untriggered,-0.1008298384916634,-0.1341037522690749,-0.01074931656508852,-0.14066898794033478,-0.23502644161220815
